Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Risk_Level,Age_Group
1,19,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,In Relationship,3,8,High Risk (8-10),19
2,22,Male,Graduate,India,2.1,Twitter,No,7.5,8,Single,0,3,Low Risk (1-5),22
3,20,Female,Undergraduate,USA,6.0,TikTok,Yes,5.0,5,Complicated,4,9,High Risk (8-10),20
4,18,Male,High School,UK,3.0,YouTube,No,7.0,7,Single,1,4,Low Risk (1-5),18
5,21,Male,Graduate,Canada,4.5,Facebook,Yes,6.0,6,In Relationship,2,7,Medium Risk (6-7),21
6,19,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Complicated,5,9,High Risk (8-10),19
7,23,Male,Graduate,Germany,1.5,LinkedIn,No,8.0,9,Single,0,2,Low Risk (1-5),23
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6.0,6,In Relationship,2,8,High Risk (8-10),20
9,18,Male,High School,Japan,4.0,TikTok,No,6.5,7,Single,1,5,Low Risk (1-5),18
10,21,Female,Graduate,South Korea,3.3,Instagram,No,7.0,7,In Relationship,1,4,Low Risk (1-5),21
11,19,Male,Undergraduate,France,4.8,Snapchat,Yes,6.2,5,Complicated,3,7,Medium Risk (6-7),19
12,20,Female,Undergraduate,Spain,5.5,TikTok,Yes,5.8,6,In Relationship,2,8,High Risk (8-10),20
13,22,Male,Graduate,Italy,2.8,LinkedIn,No,7.2,8,Single,1,4,Low Risk (1-5),22
14,18,Female,High School,Mexico,6.5,Instagram,Yes,5.5,5,Single,4,9,High Risk (8-10),18
15,21,Male,Undergraduate,Russia,3.7,YouTube,No,6.8,7,In Relationship,2,5,Low Risk (1-5),21
16,20,Female,Undergraduate,China,4.2,TikTok,Yes,6.0,6,Complicated,3,7,Medium Risk (6-7),20
17,24,Male,Graduate,Sweden,2.0,LinkedIn,No,7.8,8,Single,0,3,Low Risk (1-5),24
18,19,Female,High School,Norway,5.0,Instagram,Yes,5.7,5,In Relationship,3,8,High Risk (8-10),19
19,21,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Single,1,5,Low Risk (1-5),21
20,20,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,Complicated,3,7,Medium Risk (6-7),20
21,18,Male,High School,Belgium,5.3,TikTok,Yes,5.5,5,Single,4,8,High Risk (8-10),18
22,23,Female,Graduate,Switzerland,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,Low Risk (1-5),23
23,19,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Complicated,3,7,Medium Risk (6-7),19
24,20,Female,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,5,Single,4,8,High Risk (8-10),20
25,22,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,In Relationship,2,5,Low Risk (1-5),22
26,19,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,Complicated,4,9,High Risk (8-10),19
27,21,Male,Undergraduate,New Zealand,3.8,YouTube,No,6.6,7,Single,1,5,Low Risk (1-5),21
28,20,Female,Undergraduate,Singapore,4.4,TikTok,Yes,5.9,6,In Relationship,3,7,Medium Risk (6-7),20
29,24,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8,Single,0,3,Low Risk (1-5),24
30,19,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Complicated,4,8,High Risk (8-10),19
31,21,Male,Undergraduate,Vietnam,3.6,Facebook,No,6.7,7,Single,1,5,Low Risk (1-5),21
